"{32.77090964983417, {32.76533319174122, 32.77648610792711}, {32.21270406007304, 33.33596263301523}, {32.21270406007304, 33.17555876450162}}","{28.437606060323578, {28.42361064601113, 28.451601474636025}, {27.12587443534666, 29.91694483571646}, {27.12587443534666, 29.5072802650175}}","{809.20715267183, {808.4075320814111, 810.006773262249}, {735.8130638821934, 895.0235883033018}, {735.8130638821934, 870.6795886382912}}","{24.74815647962606, {24.743595263394756, 24.752717695857367}, {24.290387627773114, 25.19993334682483}, {24.290387627773114, 25.080891968695077}}","{26.094882206781655, {26.087145844243814, 26.102618569319496}, {25.329560449282347, 26.879776085967777}, {25.329560449282347, 26.66214061711983}}","{3.2231021368068866, {3.2126449496991927, 3.2335593239145806}, {2.6301863638010907, 4.489619118447273}, {2.6301863638010907, 3.895450476423047}}"
"{40.26492260348776, {40.258058303990076, 40.27178690298545}, {39.57926083801299, 40.959736678515185}, {39.57926083801299, 40.76909966958248}}","{34.92899900259841, {34.911910130524504, 34.946087874672315}, {33.342275955604364, 36.72817294586627}, {33.342275955604364, 36.19451245156659}}","{1220.7949161033625, {1219.5942111683373, 1221.9956210383878}, {1111.707365899673, 1348.958687941463}, {1111.707365899673, 1310.0427316066089}}","{30.410385095343756, {30.4047852513648, 30.415984939322712}, {29.853397533886465, 30.97076077269513}, {29.853397533886465, 30.821935126396035}}","{32.06365837728553, {32.05408839100866, 32.07322836356239}, {31.12722823369713, 33.03324136530475}, {31.12722823369713, 32.7680818838816}}","{3.22259209195277, {3.2117221876358957, 3.2334619962696443}, {2.632726189813157, 4.437254250798336}, {2.632726189813157, 3.882714559595205}}"
"{31.425839138454823, {31.420535432572212, 31.431142844337433}, {30.90475468228219, 31.96025333039175}, {30.90475468228219, 31.815377883786855}}","{27.260957779461787, {27.247518933499503, 27.27439662542407}, {26.047366213337547, 28.692924262245718}, {26.047366213337547, 28.25898680465506}}","{743.6297988521725, {742.8914379062284, 744.3681597981166}, {678.4652866517184, 823.283902718969}, {678.4652866517184, 798.5703352256687}}","{23.733325572970866, {23.72897128520795, 23.73767986073378}, {23.29874615807899, 24.176417318508708}, {23.29874615807899, 24.05636260258859}}","{25.031388544532337, {25.024062147749884, 25.03871494131479}, {24.307919237706486, 25.776717047723675}, {24.307919237706486, 25.57939242107323}}","{3.220937078888726, {3.2093646713415134, 3.2325094864359385}, {2.633712504965823, 4.4709540843216855}, {2.633712504965823, 3.8627324580770357}}"
"{22.79112038227308, {22.787205379461984, 22.795035385084173}, {22.401166906558565, 23.182131636051228}, {22.401166906558565, 23.079000241806728}}","{19.772465705505166, {19.762804930117237, 19.782126480893094}, {18.87009604399817, 20.783879141745775}, {18.87009604399817, 20.490077204548054}}","{391.19327305931057, {390.8095711757702, 391.57697494285094}, {356.08052470971546, 431.9696321786951}, {356.08052470971546, 419.8432638483398}}","{17.212603036759923, {17.2094508970686, 17.215755176451246}, {16.899004679426312, 17.526002677843056}, {16.899004679426312, 17.44660079588413}}","{18.15281109517033, {18.147392127188553, 18.158230063152104}, {17.606461488308803, 18.697547853707178}, {17.606461488308803, 18.55354400532766}}","{3.2228518025818578, {3.212665570753041, 3.2330380344106744}, {2.6311678950826876, 4.447060918692693}, {2.6311678950826876, 3.8788631506164157}}"
"{20.644245787114524, {20.640750329373276, 20.647741244855773}, {20.295523835771967, 20.99267472845001}, {20.295523835771967, 20.904250370662815}}","{17.917163886635663, {17.908437014918608, 17.92589075835272}, {17.116517014619436, 18.863911473220288}, {17.116517014619436, 18.569927382384613}}","{321.222947489734, {320.9085507695398, 321.5373442099282}, {292.9751547117567, 355.84715606949203}, {292.9751547117567, 344.84220298703787}}","{15.589679559939052, {15.586843874024263, 15.592515245853841}, {15.302545813824317, 15.87004917153298}, {15.302545813824317, 15.798100087312214}}","{16.439608877751407, {16.434726623175493, 16.44449113232732}, {15.9460103032992, 16.929742165185203}, {15.9460103032992, 16.79429639151744}}","{3.228210648624529, {3.217629547513058, 3.238791749736}, {2.6413831400062784, 4.521402994599863}, {2.6413831400062784, 3.880005759914499}}"
"{29.30804373649419, {29.303053545634224, 29.31303392735416}, {28.81265222249052, 29.80847910484976}, {28.81265222249052, 29.674775833083096}}","{25.433351960055735, {25.420861501274995, 25.445842418836474}, {24.28268628543383, 26.772974473056998}, {24.28268628543383, 26.348985086744978}}","{647.261378823484, {646.6228199820825, 647.8999376648856}, {589.6488532367962, 716.7921621349616}, {589.6488532367962, 694.2690151015092}}","{22.135809513686663, {22.13173611231049, 22.139882915062834}, {21.727704070571818, 22.541012328076032}, {21.727704070571818, 22.43472405507825}}","{23.34031129317742, {23.333383297641582, 23.34723928871326}, {22.654261926126274, 24.035946143982063}, {22.654261926126274, 23.848390027065815}}","{3.2295110002429497, {3.2186236791943017, 3.2403983212915977}, {2.63566603640753, 4.4483906316811455}, {2.63566603640753, 3.873867737763506}}"
"{25.70208799910332, {25.697724542905963, 25.706451455300677}, {25.26665897335633, 26.14271966308122}, {25.26665897335633, 26.026003403554526}}","{22.31156812792064, {22.300619903641493, 22.322516352199788}, {21.30314177193517, 23.494592089634402}, {21.30314177193517, 23.13841546792563}}","{498.1179918870328, {497.6268067465403, 498.60917702752533}, {453.82384935516916, 551.9958574583114}, {453.82384935516916, 535.38627036634}}","{19.410768743969342, {19.40719046104824, 19.414347026890443}, {19.052491487341168, 19.76067261428336}, {19.052491487341168, 19.671786515738646}}","{20.468573844474122, {20.462522175075854, 20.47462551387239}, {19.865156412037134, 21.083824603528928}, {19.865156412037134, 20.91584707033096}}","{3.2370024925276257, {3.226304262785484, 3.2477007222697676}, {2.6364591770315813, 4.525559050044527}, {2.6364591770315813, 3.892886177149858}}"
"{22.59457810911624, {22.590710089147905, 22.59844612908458}, {22.208006336398878, 22.98682472110721}, {22.208006336398878, 22.87367606998186}}","{19.608597467442692, {19.598945636543984, 19.6182492983414}, {18.723428198349236, 20.64361735908497}, {18.723428198349236, 20.336668155179012}}","{384.7395181013882, {384.35884096962053, 385.1201952331559}, {350.56676349873936, 426.1589376683143}, {350.56676349873936, 413.58007165387215}}","{17.062124684588415, {17.058978050112774, 17.065271319064056}, {16.74614930700402, 17.377305461185994}, {16.74614930700402, 17.294517066438146}}","{17.989574786636307, {17.984198923651956, 17.99495064962066}, {17.455003516216923, 18.533659047183182}, {17.455003516216923, 18.382700928992143}}","{3.223048309975887, {3.2127344029376457, 3.2333622170141285}, {2.6312694931725433, 4.469367477182784}, {2.6312694931725433, 3.8829953615774047}}"
"{23.536902456135294, {23.532899110410764, 23.540905801859825}, {23.135074820033193, 23.94037949130867}, {23.135074820033193, 23.8308884913804}}","{20.432002142859908, {20.422043271025622, 20.441961014694193}, {19.514424171775854, 21.499045140848242}, {19.514424171775854, 21.179967567374092}}","{417.7248041495247, {417.31573285921536, 418.133875439834}, {380.8127507559897, 462.20894196823036}, {380.8127507559897, 448.5910261550184}}","{17.771842664334436, {17.768547943656003, 17.77513738501287}, {17.446988053908704, 18.10117131716097}, {17.446988053908704, 18.01381058815422}}","{18.746855441957724, {18.74121928243659, 18.75249160147886}, {18.18263961685527, 19.3214283815288}, {18.18263961685527, 19.165233820140056}}","{3.229963697125057, {3.219597208612378, 3.240330185637736}, {2.6404991437475185, 4.4834128602570456}, {2.6404991437475185, 3.8701480672886124}}"
"{23.105284797267338, {23.10139853709717, 23.109171057437504}, {22.723075696439857, 23.496298861468937}, {22.723075696439857, 23.393687302660574}}","{20.044477746144967, {20.034705936922187, 20.054249555367747}, {19.159601234825892, 21.076216877883493}, {19.159601234825892, 20.770596642988032}}","{402.029575988252, {401.63548248332347, 402.42366949318057}, {367.0903194775419, 444.206917883581}, {367.0903194775419, 431.41768490570576}}","{17.451174071758796, {17.447992888736174, 17.45435525478142}, {17.13668865057356, 17.77104580769936}, {17.13668865057356, 17.684343389724155}}","{18.399374483528646, {18.39396119181993, 18.404787775237363}, {17.85749769255943, 18.950046318308654}, {17.85749769255943, 18.794685551504493}}","{3.2215445954297897, {3.2108203421645323, 3.232268848695047}, {2.63330586191596, 4.4685446390407275}, {2.63330586191596, 3.8654287484417655}}"
