"{12.10120549579669, {12.098269342147086, 12.104141649446293}, {11.809858605364996, 12.40037078099321}, {11.809858605364996, 12.316781716264188}}","{14.868471682994853, {14.855779742666716, 14.88116362332299}, {13.827845822064132, 16.295816322571522}, {13.827845822064132, 15.805908592252354}}","{221.4906405433267, {221.1041567186265, 221.87712436802687}, {191.20932007877647, 265.5536296189884}, {191.20932007877647, 249.82674642663682}}","{7.63149104641121, {7.629654269232971, 7.633327823589448}, {7.450714982311682, 7.815907616255295}, {7.450714982311682, 7.7657252773323755}}","{10.591037954997255, {10.587473121768099, 10.59460278822641}, {10.24245006431679, 10.956270974911376}, {10.24245006431679, 10.856116269490332}}","{5.281035760843206, {5.248890885542191, 5.313180636144222}, {3.8199813013015986, 9.218955964712318}, {3.8199813013015986, 7.195967346438134}}"
"{18.61987114958477, {18.615405922872117, 18.624336376297425}, {18.173879400033535, 19.07365727959793}, {18.173879400033535, 18.95025659361758}}","{22.902865798312845, {22.882618758138815, 22.923112838486876}, {21.230943851452274, 25.16147650277005}, {21.230943851452274, 24.322490846883333}}","{525.6080502818351, {524.6488495424749, 526.5672510211953}, {450.7529768235191, 633.0998997994493}, {450.7529768235191, 591.5835609967236}}","{11.740626279722818, {11.737852082513186, 11.74340047693245}, {11.462080374966964, 12.016884045946348}, {11.462080374966964, 11.945090560608339}}","{16.296672115699522, {16.291240248856298, 16.302103982542747}, {15.756674864937336, 16.85482463470447}, {15.756674864937336, 16.696134103537947}}","{5.3413600547121955, {5.304350808454194, 5.378369300970197}, {3.819840747875492, 9.728378422266092}, {3.819840747875492, 7.246624390643199}}"
"{12.334269291439814, {12.331281583795384, 12.337256999084243}, {12.037087587269808, 12.633033082832474}, {12.037087587269808, 12.551917951799636}}","{15.170024946361641, {15.156778391922355, 15.183271500800927}, {14.084153114815086, 16.65773873197633}, {14.084153114815086, 16.127597070021213}}","{230.58628335657875, {230.17248743304086, 231.00007928011664}, {198.3633689615555, 277.48025966278436}, {198.3633689615555, 260.09938725295683}}","{7.777160066116574, {7.775310782944743, 7.779009349288405}, {7.5910893859093225, 7.963937336563907}, {7.5910893859093225, 7.91514424442877}}","{10.794863814611988, {10.791230687664779, 10.798496941559197}, {10.438495037569336, 11.163492710876499}, {10.438495037569336, 11.06504371170229}}","{5.331203530847803, {5.296370425544771, 5.366036636150835}, {3.81259297771637, 9.563446054576255}, {3.81259297771637, 7.273237639275168}}"
"{9.548583496899447, {9.546280961320997, 9.550886032477896}, {9.320788159095178, 9.77822230809846}, {9.320788159095178, 9.719217446023817}}","{11.742838238110052, {11.732521294607725, 11.753155181612378}, {10.893992165910987, 12.901158473076926}, {10.893992165910987, 12.485974099667583}}","{138.17123558325247, {137.9209632766149, 138.42150788989002}, {118.67906531092996, 166.43988994744456}, {118.67906531092996, 155.8995492175697}}","{6.020324985952457, {6.018913089697173, 6.021736882207741}, {5.881193099064018, 6.163507831870446}, {5.881193099064018, 6.124213309828868}}","{8.356676724451452, {8.353873568214023, 8.35947988068888}, {8.08487099222283, 8.637645595177396}, {8.08487099222283, 8.564208433568266}}","{5.3114371975757075, {5.276454504386932, 5.346419890764483}, {3.8103592316187274, 9.23171487267655}, {3.8103592316187274, 7.175990883078245}}"
"{9.977419185580654, {9.974992771747152, 9.979845599414157}, {9.739782053347266, 10.225700628177215}, {9.739782053347266, 10.155913286528964}}","{12.267866909565456, {12.25703618602795, 12.278697633102961}, {11.388462941886962, 13.470527659927798}, {11.388462941886962, 13.070665416757036}}","{150.80581870720158, {150.53172090305517, 151.079916511348}, {129.69708817873263, 181.4551154368799}, {129.69708817873263, 170.8422944368084}}","{6.292437335718194, {6.290943738688113, 6.2939309327482755}, {6.143817461427801, 6.443976543681156}, {6.143817461427801, 6.403590175652101}}","{8.732977649149998, {8.730079871078566, 8.73587542722143}, {8.451436064295805, 9.03285557817886}, {8.451436064295805, 8.948546881282478}}","{5.328250093058595, {5.292718586866874, 5.363781599250316}, {3.8062311644079867, 9.428252732027081}, {3.8062311644079867, 7.247735046629712}}"
"{9.81238931376245, {9.810036046727367, 9.814742580797533}, {9.578983657798608, 10.05062159140356}, {9.578983657798608, 9.989266472903989}}","{12.060253109695811, {12.049853965842235, 12.070652253549387}, {11.186442101821283, 13.239418369209277}, {11.186442101821283, 12.82111677590669}}","{145.7311221228072, {145.47377219990275, 145.98847204571163}, {125.13648689739976, 175.28219875495603}, {125.13648689739976, 164.38103538143596}}","{6.18784693828543, {6.1863886985821175, 6.189305177988743}, {6.040933568414248, 6.333709997637147}, {6.040933568414248, 6.294173236494773}}","{8.588334582595033, {8.585479662868474, 8.591189502321592}, {8.303594441672786, 8.876832517780226}, {8.303594441672786, 8.80147081895933}}","{5.3036435373216015, {5.269834323896799, 5.3374527507464045}, {3.8135634783342334, 9.525310996242654}, {3.8135634783342334, 7.203018810479659}}"
"{9.030349005707821, {9.028176568760143, 9.032521442655499}, {8.81343707550569, 9.252253130332154}, {8.81343707550569, 9.18860952627152}}","{11.108827711298808, {11.09880572012879, 11.118849702468825}, {10.301530315324692, 12.237711000490794}, {10.301530315324692, 11.818971472928554}}","{123.66742765256154, {123.43664519604387, 123.89821010907922}, {106.12152683755365, 149.7615705315334}, {106.12152683755365, 139.68808667789898}}","{5.695373901439142, {5.694023620584333, 5.696724182293951}, {5.5614412370676405, 5.8318305111706366}, {5.5614412370676405, 5.794810405634033}}","{7.902990559570229, {7.900340796601697, 7.905640322538761}, {7.636845240199409, 8.170230195365063}, {7.636845240199409, 8.098705442006985}}","{5.355069326037062, {5.317249530277482, 5.3928891217966415}, {3.8314375318105336, 9.73722006150763}, {3.8314375318105336, 7.253270161140471}}"
"{6.428132673215746, {6.4265647750036745, 6.4297005714278175}, {6.275274094438342, 6.58677401274213}, {6.275274094438342, 6.5438055370168575}}","{7.913021172822988, {7.905734191607987, 7.920308154037988}, {7.337965863537482, 8.72488663762029}, {7.337965863537482, 8.41403578289841}}","{62.75408578387259, {62.62926431008366, 62.87890725766152}, {53.84574301444138, 76.1236468393251}, {53.84574301444138, 70.79599815589484}}","{4.052824782521998, {4.051871839347006, 4.053777725696989}, {3.958606393592097, 4.146975267643231}, {3.958606393592097, 4.122418367893678}}","{5.62631806835188, {5.624427994655725, 5.628208142048035}, {5.439308173343731, 5.819508526246308}, {5.439308173343731, 5.767038317157427}}","{5.37529504827607, {5.337337146463398, 5.413252950088742}, {3.8260270851014804, 9.7049216686409}, {3.8260270851014804, 7.287657701246753}}"
"{6.451928594364764, {6.450370191114647, 6.453486997614881}, {6.294845721738803, 6.60798490406654}, {6.294845721738803, 6.566789347676803}}","{7.935301449361924, {7.928361161351787, 7.94224173737206}, {7.359303265449001, 8.713915308915665}, {7.359303265449001, 8.439387986037703}}","{63.0943550189081, {62.98073592127431, 63.207974116541884}, {54.15934455284833, 75.93232001095478}, {54.15934455284833, 71.22326957887752}}","{4.06824317322241, {4.0672812516434655, 4.069205094801354}, {3.9740060082796482, 4.164654617844896}, {3.9740060082796482, 4.1396210308158725}}","{5.647594571007141, {5.645710503772463, 5.649478638241819}, {5.4627392149328795, 5.838318594865272}, {5.4627392149328795, 5.785254526468628}}","{5.331242677178547, {5.296125025230597, 5.366360329126496}, {3.8260081084013144, 9.392227745227624}, {3.8260081084013144, 7.227054371981348}}"
"{6.875429319945237, {6.87377399209532, 6.877084647795154}, {6.71220148910733, 7.042489591182071}, {6.71220148910733, 7.000026692366169}}","{8.449545585011188, {8.442234474920317, 8.45685669510206}, {7.842429365959281, 9.277198164102577}, {7.842429365959281, 8.97007588362871}}","{71.53391891355673, {71.40666584726921, 71.66117197984426}, {61.50369836006048, 86.06640577602822}, {61.50369836006048, 80.46226135805738}}","{4.336030725735889, {4.335007216680128, 4.33705423479165}, {4.2341459493020235, 4.438267375745831}, {4.2341459493020235, 4.412688724011197}}","{6.017542758478896, {6.015528518930735, 6.019556998027058}, {5.818695670314964, 6.2215653643270965}, {5.818695670314964, 6.164917719936918}}","{5.29551578143308, {5.26118892032528, 5.32984264254088}, {3.8180240256796267, 9.150733728005257}, {3.8180240256796267, 7.183463351323929}}"
