"{17.426009940937686, {17.413788652861886, 17.438231229013486}, {16.32728724369408, 18.71010772660493}, {16.32728724369408, 18.320173979232084}}","{59.35210480184699, {59.014960521627536, 59.689249082066446}, {44.57173287717765, 95.19669438890917}, {44.57173287717765, 76.93191714878866}}","{3818.4646216581477, {3673.7368159456314, 3963.192427370664}, {1986.6393716744792, 9062.41062257537}, {1986.6393716744792, 5918.519876188083}}","{4.74017725329183, {4.738287326125627, 4.742067180458034}, {4.553545060892185, 4.929908168173812}, {4.553545060892185, 4.88014462776624}}","{12.478836773987661, {12.47291573436479, 12.484757813610532}, {11.897677621684416, 13.083354228742179}, {11.897677621684416, 12.911939199473103}}","{19.980917429061517, {19.75189178561765, 20.209943072505382}, {9.396449508953651, 54.419318510352014}, {9.396449508953651, 37.42717549908325}}"
"{18.07136047507025, {18.058876807555453, 18.083844142585047}, {16.956640854755292, 19.432329029710733}, {16.956640854755292, 19.005318372276484}}","{61.866308685696815, {61.492869281421605, 62.239748089972025}, {46.1271137011627, 100.21984390289244}, {46.1271137011627, 80.24663069836258}}","{4190.347297972971, {4035.977471829086, 4344.717124116856}, {2127.7106183999917, 10044.017111920126}, {2127.7106183999917, 6439.521738439388}}","{4.915042712626515, {4.913070047069675, 4.917015378183355}, {4.722304639026067, 5.118460265051501}, {4.722304639026067, 5.060096553825357}}","{12.941053670071012, {12.934927707067468, 12.947179633074557}, {12.343567806165394, 13.572058732328694}, {12.343567806165394, 13.39617404202395}}","{20.16943019233801, {19.934117844231448, 20.40474254044457}, {9.439045643232337, 56.54895581722184}, {9.439045643232337, 38.12938300007908}}"
"{16.617598757824812, {16.606276885078977, 16.628920630570647}, {15.577436387408758, 17.858038457482618}, {15.577436387408758, 17.463999192361733}}","{56.52057885598067, {56.229989343394344, 56.811168368567}, {42.4231785961559, 91.6982758927596}, {42.4231785961559, 73.708293443754}}","{3414.318865784054, {3348.1137229873266, 3480.524008580782}, {1799.72608220134, 8408.573801704657}, {1799.72608220134, 5432.9125223905485}}","{4.52192330889656, {4.520147442260336, 4.5236991755327844}, {4.3476345891449615, 4.703189216340226}, {4.3476345891449615, 4.652673356975248}}","{11.903334140886153, {11.897657379741899, 11.909010902030408}, {11.334556740945597, 12.469697839338476}, {11.334556740945597, 12.321746634520347}}","{19.980962034256482, {19.74983714812402, 20.212086920388945}, {9.364986111303114, 55.25103485542352}, {9.364986111303114, 38.029772713468375}}"
"{25.012146186409378, {24.994643349079855, 25.0296490237389}, {23.423097046072737, 26.853173301909184}, {23.423097046072737, 26.278555083426753}}","{85.47805942481813, {84.96412841570219, 85.99199043393406}, {63.804424092974656, 139.607044826287}, {63.804424092974656, 110.75947170361705}}","{7993.827984340845, {7642.584270306704, 8345.071698374988}, {4071.0045338361647, 19490.126965128908}, {4071.0045338361647, 12267.660572064346}}","{6.8018041415433155, {6.799104590722842, 6.804503692363789}, {6.535872145104128, 7.077691475066086}, {6.535872145104128, 7.0009303736313315}}","{17.914871256191272, {17.906498846807725, 17.92324366557482}, {17.07789371620713, 18.762544315736452}, {17.07789371620713, 18.527221443612767}}","{20.200613160760582, {19.966424459145184, 20.43480186237598}, {9.448517083305127, 55.49781855922553}, {9.448517083305127, 38.474167538130054}}"
"{22.872678128610865, {22.85671272407927, 22.88864353314246}, {21.435256296381343, 24.604308085269906}, {21.435256296381343, 24.043104965350796}}","{78.25741178962735, {77.80208112321687, 78.71274245603784}, {58.387129808538006, 127.18130576092618}, {58.387129808538006, 101.7349363272778}}","{6663.744353476228, {6383.378596184224, 6944.110110768232}, {3409.056927279067, 16175.084535054195}, {3409.056927279067, 10349.997269515268}}","{6.221071621443194, {6.218589121794728, 6.22355412109166}, {5.979729860066989, 6.475364436046913}, {5.979729860066989, 6.403085765801368}}","{16.37469694492759, {16.367016175760185, 16.382377714094993}, {15.636598046432228, 17.15200989324196}, {15.636598046432228, 16.946247544834026}}","{20.18850451324369, {19.952938144312235, 20.424070882175144}, {9.436239934043149, 56.72694565063988}, {9.436239934043149, 38.18238044296092}}"
"{27.39854965337207, {27.37963436714659, 27.417464939597547}, {25.634103925375047, 29.416917279953225}, {25.634103925375047, 28.81608515736687}}","{93.18109197147692, {92.69483814215278, 93.66734580080106}, {69.639114671758, 150.2233082208836}, {69.639114671758, 119.98316000003301}}","{9298.007956613896, {9109.629086239041, 9486.38682698875}, {4849.606292266259, 22567.0423328266}, {4849.606292266259, 14395.958683593522}}","{7.455570108990809, {7.4526420713810255, 7.458498146600593}, {7.161797680468785, 7.751518522230538}, {7.161797680468785, 7.67392688058135}}","{19.627256919563834, {19.61802409023707, 19.636489748890597}, {18.720711246948436, 20.553369418738832}, {18.720711246948436, 20.310131467458575}}","{19.996433784536112, {19.767086040022566, 20.22578152904966}, {9.410367828241021, 55.485328185125915}, {9.410367828241021, 37.36579838512321}}"
"{29.21804131618235, {29.197880626510266, 29.238202005854436}, {27.39262961626873, 31.363181121987203}, {27.39262961626873, 30.739101891953325}}","{99.51480548610121, {98.98852129850656, 100.04108967369586}, {74.33977582400601, 157.18734017778013}, {74.33977582400601, 129.21580036983477}}","{10623.965150049347, {10386.308410487622, 10861.621889611073}, {5526.402269563469, 24707.859912165168}, {5526.402269563469, 16696.723065216993}}","{7.956234463607118, {7.953050055096627, 7.95941887211761}, {7.639149527090205, 8.281826761115589}, {7.639149527090205, 8.195189366295489}}","{20.947306741581414, {20.937359812938876, 20.957253670223952}, {19.96656974895577, 21.962375853987858}, {19.96656974895577, 21.678920081188487}}","{20.10732987183926, {19.877027196163258, 20.33763254751526}, {9.360798324337221, 55.051354531981595}, {9.360798324337221, 37.992436497310656}}"
"{18.974012772330543, {18.960975356770362, 18.987050187890723}, {17.799824629835044, 20.385589090668496}, {17.799824629835044, 19.9340682654488}}","{64.70451961444914, {64.35382905148255, 65.05521017741573}, {48.4642412059337, 104.03152942727539}, {48.4642412059337, 83.39859439772948}}","{4506.714221448462, {4408.252569244495, 4605.175873652429}, {2348.7826756669224, 10822.559114978065}, {2348.7826756669224, 6955.325547516994}}","{5.163509080199174, {5.161478139394192, 5.165540021004156}, {4.966699050531169, 5.369562169109775}, {4.966699050531169, 5.315099883203099}}","{13.593173867336905, {13.586709664395153, 13.599638070278656}, {12.961501221274107, 14.248167988182075}, {12.961501221274107, 14.07016364589574}}","{20.0861159817361, {19.85171978931181, 20.32051217416039}, {9.454117828763348, 56.534386576718134}, {9.454117828763348, 37.66070320441749}}"
"{17.337350728497114, {17.32549297874264, 17.349208478251587}, {16.251712646769434, 18.62069885269622}, {16.251712646769434, 18.21948061419423}}","{59.11880005354616, {58.82066485557299, 59.41693525151933}, {44.0283702468415, 96.53923495155364}, {44.0283702468415, 76.35524050201388}}","{3726.335773949641, {3664.9658634442285, 3787.7056844550534}, {1938.4973865929574, 9319.823885031275}, {1938.4973865929574, 5830.122752120381}}","{4.7185738507624775, {4.716708898820196, 4.720438802704759}, {4.534883549828516, 4.9051207431058526}, {4.534883549828516, 4.855859699675953}}","{12.421993668018015, {12.416218828617257, 12.427768507418772}, {11.854427633991342, 13.004446384317896}, {11.854427633991342, 12.852664711996328}}","{20.13951566729178, {19.907358433335258, 20.3716729012483}, {9.420739699135655, 56.099212875834674}, {9.420739699135655, 38.038573643010906}}"
"{24.953663259914592, {24.93641064098698, 24.970915878842202}, {23.361204281950982, 26.78439087849205}, {23.361204281950982, 26.241605432921816}}","{85.32719789398845, {84.89239068913439, 85.76200509884252}, {63.54826872419034, 137.62741087742447}, {63.54826872419034, 111.93558067694525}}","{7772.712121276096, {7648.918485535834, 7896.505757016357}, {4038.3824578419085, 18941.304224823412}, {4038.3824578419085, 12529.57422148492}}","{6.787059594479627, {6.784383231828488, 6.789735957130765}, {6.524264362890614, 7.059240462444405}, {6.524264362890614, 6.986281380782305}}","{17.874375478522627, {17.865934532408097, 17.882816424637156}, {17.03247772214818, 18.73982069707874}, {17.03247772214818, 18.50092674956877}}","{20.280307682771394, {20.045388805619105, 20.515226559923683}, {9.422894849891112, 55.68463355306069}, {9.422894849891112, 38.967610818862056}}"
