"{53.308334978944764, {53.29533663484534, 53.321333323044186}, {52.020503517368105, 54.63240240324925}, {52.020503517368105, 54.270999694895124}}","{65.63992414016782, {65.58160485937684, 65.6982434209588}, {60.83398800656501, 72.0013417899293}, {60.83398800656501, 69.82692522996187}}","{4317.450380610999, {4309.532190110617, 4325.36857111138}, {3700.774096782895, 5184.1932195502195}, {3700.774096782895, 4875.799487070686}}","{33.584341642816476, {33.57639327630385, 33.592290009329105}, {32.795668207017556, 34.39144934104544}, {32.795668207017556, 34.16800342991945}}","{46.66654646527248, {46.650780659484404, 46.68231227106056}, {45.108894077460164, 48.27620229628386}, {45.108894077460164, 47.83848218715143}}","{5.32813400441073, {5.291924222973441, 5.3643437858480185}, {3.823650704444018, 9.424483294924253}, {3.823650704444018, 7.240817630028398}}"
"{38.43322191129482, {38.42390956232504, 38.4425342602646}, {37.52821666368558, 39.39054520909582}, {37.52821666368558, 39.12948759891315}}","{47.34035537580111, {47.2991875625351, 47.38152318906712}, {43.93648568997974, 51.950768033548876}, {43.93648568997974, 50.36585093643302}}","{2245.5195745698466, {2241.505557984869, 2249.533591154824}, {1930.4147747857942, 2698.8822992756036}, {1930.4147747857942, 2536.7189405509907}}","{24.21280044220167, {24.207089346812563, 24.218511537590775}, {23.643586209971918, 24.78729051490168}, {23.643586209971918, 24.63248141588494}}","{33.64421575848486, {33.63291448283161, 33.655517034138114}, {32.53565232808667, 34.7850580577926}, {32.53565232808667, 34.46827852556338}}","{5.337879795956074, {5.303034750055951, 5.372724841856198}, {3.833188419125195, 9.514092942481252}, {3.833188419125195, 7.251449508561495}}"
"{39.2426708040426, {39.23317775829295, 39.252163849792254}, {38.29862213852595, 40.197979276086194}, {38.29862213852595, 39.945825451374965}}","{48.348165828987355, {48.3046285946721, 48.39170306330261}, {44.85617882337286, 53.205891925898634}, {44.85617882337286, 51.421351522639696}}","{2342.4777505503325, {2338.043763494304, 2346.911737606361}, {2012.0767786344036, 2830.8669356304054}, {2012.0767786344036, 2644.1553924148798}}","{24.72182570853955, {24.71589770579435, 24.727753711284752}, {24.14742884598571, 25.318823464380323}, {24.14742884598571, 25.15648016125298}}","{34.354512345982585, {34.342999922622425, 34.366024769342744}, {33.21121695616662, 35.51568121445138}, {33.21121695616662, 35.206541537524316}}","{5.357011363380405, {5.3195241436681115, 5.394498583092698}, {3.821226281415534, 9.500517387248438}, {3.821226281415534, 7.243019957880029}}"
"{21.502362064132782, {21.49712873310919, 21.507595395156375}, {20.978838824321194, 22.037414394102193}, {20.978838824321194, 21.89028130294869}}","{26.490944183752152, {26.46734067040478, 26.514547697099523}, {24.55002143102135, 29.13218356527292}, {24.55002143102135, 28.219203611498333}}","{703.2199252390237, {701.9264489847517, 704.5134014932958}, {602.7035522636075, 848.6841192807576}, {602.7035522636075, 796.3234524672005}}","{13.546181454306979, {13.542972605633812, 13.549390302980145}, {13.227421254607243, 13.874067267571498}, {13.227421254607243, 13.779905348537625}}","{18.823212049756307, {18.816921843711704, 18.82950225580091}, {18.213114466813124, 19.45184066585694}, {18.213114466813124, 19.29727476645414}}","{5.349608399299783, {5.313055723761826, 5.386161074837741}, {3.841905764655321, 9.407790646957457}, {3.841905764655321, 7.2259078713037646}}"
"{20.98951798286942, {20.984396001085624, 20.994639964653214}, {20.490899648484696, 21.50574956425358}, {20.490899648484696, 21.365758483476455}}","{25.850980535884982, {25.82818500688228, 25.873776064887686}, {23.93483151284133, 28.470767037267485}, {23.93483151284133, 27.482324414137878}}","{669.625437190102, {668.4082050064998, 670.8426693737043}, {572.8761595481025, 810.5845756903567}, {572.8761595481025, 755.2781552039189}}","{13.222699666461864, {13.219558998791792, 13.225840334131936}, {12.906303108182371, 13.538063522256362}, {12.906303108182371, 13.451680026893953}}","{18.376272935453652, {18.370076263729388, 18.382469607177917}, {17.771779966340425, 19.004386179186966}, {17.771779966340425, 18.835014522578874}}","{5.337117569705423, {5.300520250173671, 5.373714889237176}, {3.832393659524576, 9.568430133985979}, {3.832393659524576, 7.245395470439298}}"
"{35.111304670814015, {35.102680166617695, 35.119929175010334}, {34.25539610298378, 35.9864519659666}, {34.25539610298378, 35.73640615394802}}","{43.24862648937754, {43.21022637952725, 43.287026599227836}, {40.08045228072998, 47.55346392390942}, {40.08045228072998, 46.00057259588151}}","{1874.2809439021237, {1870.8499852408702, 1877.7119025633772}, {1606.442655027873, 2261.3319311625546}, {1606.442655027873, 2116.0526791489647}}","{22.11485024830111, {22.10959373854097, 22.12010675806125}, {21.597683873622632, 22.64170716101289}, {21.597683873622632, 22.50292640205008}}","{30.737367874943104, {30.727001831429106, 30.7477339184571}, {29.696054222899487, 31.775522522971603}, {29.696054222899487, 31.504035955313903}}","{5.3287217920540595, {5.292857083364787, 5.364586500743332}, {3.8253702430988534, 9.318650834240435}, {3.8253702430988534, 7.170011366919031}}"
"{34.0295180000448, {34.02111099991211, 34.037925000177495}, {33.21819398473042, 34.89225042327704}, {33.21819398473042, 34.65164726924064}}","{41.9112901786419, {41.87342123739121, 41.949159119892585}, {38.85570108415808, 46.13634942878447}, {38.85570108415808, 44.64058646726246}}","{1760.2880719759662, {1757.0030340591031, 1763.5731098928293}, {1509.7655067414432, 2128.5627386149013}, {1509.7655067414432, 1992.7819601411359}}","{21.437876516392723, {21.432774896522474, 21.442978136262973}, {20.939259773492342, 21.949868050616296}, {20.939259773492342, 21.810345841511236}}","{29.793957657008654, {29.783968826805477, 29.80394648721183}, {28.802571530260348, 30.816555240864115}, {28.802571530260348, 30.528973099240147}}","{5.334542167594945, {5.297823509377406, 5.371260825812484}, {3.8208358273549368, 9.370778265100368}, {3.8208358273549368, 7.232643031157872}}"
"{29.31407029720716, {29.30702026207724, 29.321120332337077}, {28.621658161743074, 30.02506006273134}, {28.621658161743074, 29.832739601747377}}","{36.11383944143754, {36.0825565229604, 36.14512235991468}, {33.51219791758001, 39.61475791087086}, {33.51219791758001, 38.40613467530448}}","{1306.7560521511807, {1304.4333958390253, 1309.0787084633362}, {1123.0674092670538, 1569.329044336905}, {1123.0674092670538, 1475.0311806976251}}","{18.465668847003304, {18.46134585104401, 18.4699918429626}, {18.033765545099016, 18.89391559200451}, {18.033765545099016, 18.782117693663455}}","{25.66469133546536, {25.656139982812697, 25.673242688118023}, {24.818543283799045, 26.53237078268499}, {24.818543283799045, 26.301745266703843}}","{5.337093101302414, {5.302878733034321, 5.371307469570507}, {3.83600318598796, 9.346827764060876}, {3.83600318598796, 7.248697984027373}}"
"{42.57272509281665, {42.5624471261205, 42.58300305951279}, {41.57077083426588, 43.61250379038011}, {41.57077083426588, 43.32670903281207}}","{52.461011652075484, {52.41579651671009, 52.50622678744088}, {48.735880098773656, 57.651292320425945}, {48.735880098773656, 55.72799618347591}}","{2757.4778817037486, {2752.6135117336735, 2762.3422516738237}, {2375.1860090020423, 3323.6715062152034}, {2375.1860090020423, 3105.6095586255055}}","{26.811617618303256, {26.80524773852034, 26.817987498086172}, {26.1837885354188, 27.44718088412914}, {26.1837885354188, 27.278316247131997}}","{37.27344351402257, {37.26095006815015, 37.28593695989498}, {36.02728088867951, 38.54300236012958}, {36.02728088867951, 38.191971516866076}}","{5.338902234614107, {5.3050311936049175, 5.372773275623296}, {3.8436248398397885, 9.480861768571126}, {3.8436248398397885, 7.24861132363116}}"
"{40.68841180601487, {40.67847170596729, 40.69835190606245}, {39.726276424515376, 41.70292487638304}, {39.726276424515376, 41.42915564826609}}","{50.1068697780019, {50.063645329091095, 50.15009422691271}, {46.48423390492795, 54.864484891612136}, {46.48423390492795, 53.2737487144311}}","{2515.560390151756, {2511.114206200249, 2520.006574103263}, {2160.7840017280528, 3010.111702421936}, {2160.7840017280528, 2838.0923020883497}}","{25.63177715489652, {25.62577324090187, 25.637781068891165}, {25.046064421987047, 26.239882250296702}, {25.046064421987047, 26.077313686220634}}","{35.631534045773485, {35.619553651816176, 35.643514439730794}, {34.428415226690944, 36.84387972396065}, {34.428415226690944, 36.509967297403904}}","{5.316442314102112, {5.2827293970184614, 5.350155231185762}, {3.8306485572808233, 9.387278329402857}, {3.8306485572808233, 7.175179542708682}}"
