"{41.226968172248846, {41.210677138550984, 41.24325920594671}, {39.64319461185816, 42.88409722468394}, {39.64319461185816, 42.455862398249366}}","{83.45032497757985, {83.26679946313801, 83.6338504920217}, {71.77722175265181, 105.4267165491335}, {71.77722175265181, 95.7117159408544}}","{7051.6059756878585, {7013.969694589645, 7089.242256786072}, {5151.969562529352, 11114.79256233134}, {5151.969562529352, 9160.732568342803}}","{18.162165757718643, {18.15642053787859, 18.167910977558698}, {17.598859263203074, 18.74474310981065}, {17.598859263203074, 18.592752582631377}}","{35.42194151144085, {35.407972627296836, 35.43591039558486}, {34.0440403688571, 36.83769082406951}, {34.0440403688571, 36.46030415832315}}","{11.024501034417593, {10.90650566617087, 11.142496402664316}, {6.214152279704929, 27.622746079870137}, {6.214152279704929, 18.302216437375606}}"
"{37.40922879768784, {37.394168532425475, 37.4242890629502}, {35.950983250632454, 38.97563758663804}, {35.950983250632454, 38.510463732113244}}","{75.66707904931177, {75.50140691410732, 75.83275118451621}, {64.97190063560099, 95.9487890617901}, {64.97190063560099, 86.69899259730937}}","{5796.932497985704, {5767.09084032554, 5826.774155645868}, {4221.347872202408, 9206.17012242389}, {4221.347872202408, 7516.715317388305}}","{16.481724328903162, {16.47649773440376, 16.486950923402564}, {15.975474548558365, 17.00642644164474}, {15.975474548558365, 16.87042246819292}}","{32.1478546684399, {32.134924945368326, 32.16078439151147}, {30.834050046414205, 33.46759981608965}, {30.834050046414205, 33.10131514410669}}","{10.99461098156391, {10.877818531145854, 11.111403431981968}, {6.174745371412012, 26.984660559395145}, {6.174745371412012, 18.270183392855674}}"
"{12.471225730161112, {12.46621913596784, 12.476232324354385}, {11.98958701935446, 12.986310786646092}, {11.98958701935446, 12.845635908724502}}","{25.270686056288717, {25.21163672446149, 25.329735388115946}, {21.636022281525708, 32.00692107630021}, {21.636022281525708, 29.07076998839877}}","{647.6812904260911, {643.9097078001623, 651.4528730520199}, {468.11746016667695, 1024.4429967845106}, {468.11746016667695, 845.1096677183865}}","{5.493833717907388, {5.4921032946233375, 5.495564141191439}, {5.320381083250076, 5.66655202401237}, {5.320381083250076, 5.620420561922259}}","{10.713579588422977, {10.709298328280095, 10.71786084856586}, {10.298738812246038, 11.145656275117162}, {10.298738812246038, 11.032891845381018}}","{11.0816502211051, {10.957286605916064, 11.206013836294137}, {6.196598456197743, 27.841649366254195}, {6.196598456197743, 18.446897208093507}}"
"{17.443179367337027, {17.43627091047624, 17.450087824197816}, {16.777176589146265, 18.16164171446495}, {16.777176589146265, 17.957587220504106}}","{35.283223495033305, {35.202000811450716, 35.36444617861589}, {30.27411337294881, 44.5189783875547}, {30.27411337294881, 40.42860389420043}}","{1262.0734729184858, {1253.9268549678857, 1270.2200908690859}, {916.5219405181581, 1981.9394366715621}, {916.5219405181581, 1634.472012834158}}","{7.68577505845314, {7.683388843676844, 7.6881612732294355}, {7.448018071119259, 7.923731221314858}, {7.448018071119259, 7.862059177963051}}","{14.988057084136946, {14.982106583458249, 14.994007584815643}, {14.395282228873757, 15.593173527863593}, {14.395282228873757, 15.420800556576527}}","{10.968567718733087, {10.850719664713953, 11.086415772752222}, {6.185242089841822, 27.167662672810792}, {6.185242089841822, 18.25255758740533}}"
"{16.912991624736897, {16.906178437520413, 16.91980481195338}, {16.25550232638932, 17.616300114304536}, {16.25550232638932, 17.4186959183639}}","{34.28097189618735, {34.20045696985742, 34.361486822517286}, {29.35119634057058, 43.211835460251784}, {29.35119634057058, 39.30261286497687}}","{1192.054760525405, {1184.4276524356858, 1199.6818686151244}, {861.4927266227238, 1867.2627238438736}, {861.4927266227238, 1544.6953780142458}}","{7.449851975371945, {7.447514354183835, 7.452189596560054}, {7.216208276477389, 7.686642459838412}, {7.216208276477389, 7.621787742101368}}","{14.530875521611701, {14.525096527194858, 14.536654516028545}, {13.95078593136784, 15.115118713094969}, {13.95078593136784, 14.959147672598634}}","{11.07364854614094, {10.952726030544902, 11.19457106173698}, {6.239599295727219, 28.1829722661161}, {6.239599295727219, 18.475535635131948}}"
"{23.969352873175573, {23.95977906732677, 23.978926679024376}, {23.042970731152206, 24.958023037000373}, {23.042970731152206, 24.68006972891105}}","{48.502839490724, {48.394800841301, 48.610878140147}, {41.75618804430187, 61.16262349023729}, {41.75618804430187, 55.42313603290996}}","{2382.900245983839, {2369.5287702459086, 2396.271721721769}, {1743.5792399910988, 3740.866512208526}, {1743.5792399910988, 3071.7240077224424}}","{10.560343763480226, {10.557040375303632, 10.56364715165682}, {10.237727395512238, 10.899579722538977}, {10.237727395512238, 10.802981935042329}}","{20.592057029832276, {20.58392589587977, 20.600188163784782}, {19.797207761567314, 21.4051216291884}, {19.797207761567314, 21.18938666396919}}","{11.007340199033921, {10.889237457033087, 11.125442941034756}, {6.236888059370126, 27.422484079982407}, {6.236888059370126, 18.17356148598244}}"
"{26.48944841175514, {26.478839981223153, 26.50005684228713}, {25.484335658328213, 27.587669735121803}, {25.484335658328213, 27.28377224530771}}","{53.61056906924163, {53.48771735541001, 53.73342078307324}, {46.12519215242434, 67.70028955834427}, {46.12519215242434, 61.50988319516909}}","{2913.3682501242874, {2896.773742744957, 2929.962757503618}, {2127.533351098068, 4583.329206283657}, {2127.533351098068, 3783.465730683344}}","{11.671224689672442, {11.667562270547442, 11.674887108797442}, {11.311866058620723, 12.034406109928359}, {11.311866058620723, 11.943755118703919}}","{22.76228526485917, {22.75326503008275, 22.771305499635588}, {21.883084941097636, 23.685763409627583}, {21.883084941097636, 23.435765800265095}}","{11.01170498202073, {10.891622698585298, 11.131787265456161}, {6.237372680203128, 27.077099687288033}, {6.237372680203128, 18.451216098200934}}"
"{24.473040222225187, {24.463321460939802, 24.48275898351057}, {23.52848902404441, 25.46442932394592}, {23.52848902404441, 25.189242375800806}}","{49.469559928800734, {49.35805483796897, 49.5810650196325}, {42.55766067198232, 61.672807037259446}, {42.55766067198232, 56.37313242825404}}","{2479.5925999025585, {2464.127953230498, 2495.057246574619}, {1811.1544818715906, 3803.5351278550384}, {1811.1544818715906, 3177.930059773467}}","{10.781351063472169, {10.77798801396332, 10.784714112981018}, {10.446397617635542, 11.125484196473936}, {10.446397617635542, 11.027725547799326}}","{21.023627446451144, {21.015369444007383, 21.031885448894904}, {20.208326379502306, 21.86644075493794}, {20.208326379502306, 21.625128761740136}}","{10.903669842533905, {10.790900848383131, 11.016438836684678}, {6.209147296336822, 25.99052689830237}, {6.209147296336822, 17.929700203727705}}"
"{27.62211025061698, {27.611046933774187, 27.633173567459774}, {26.566769435016578, 28.76965594194901}, {26.566769435016578, 28.451511071237398}}","{55.96850108497156, {55.84109152058733, 56.09591064935579}, {47.9731397224124, 70.97668608100638}, {47.9731397224124, 64.00573710544796}}","{3174.7165560012477, {3157.086876641271, 3192.3462353612244}, {2301.4221348261026, 5037.689967041725}, {2301.4221348261026, 4096.734382411718}}","{12.166105688471673, {12.162305729031836, 12.16990564791151}, {11.789061051845305, 12.550884008298912}, {11.789061051845305, 12.445996468986078}}","{23.72400953158635, {23.714498611429917, 23.733520451742784}, {22.795871412755545, 24.701601152429816}, {22.795871412755545, 24.4241638304433}}","{11.053872793083078, {10.931902389618058, 11.175843196548099}, {6.229883707384645, 27.47567646949966}, {6.229883707384645, 18.272980872469606}}"
"{24.750775734080296, {24.7408614165393, 24.760690051621292}, {23.778216466552443, 25.771754003061574}, {23.778216466552443, 25.496808919307}}","{50.02326998092155, {49.908767812031456, 50.13777214981164}, {42.91989364503346, 63.06026083800214}, {42.91989364503346, 57.316272150601016}}","{2536.4454688898077, {2519.031321830785, 2553.85961594883}, {1842.1172705009835, 3976.596496956866}, {1842.1172705009835, 3285.155053241762}}","{10.904380032817947, {10.900982458544467, 10.907777607091427}, {10.572211478889272, 11.24719295472962}, {10.572211478889272, 11.157168284205866}}","{21.267260327398787, {21.258757565845077, 21.2757630889525}, {20.425054455022163, 22.122021853299906}, {20.425054455022163, 21.890023710832647}}","{10.94907427215787, {10.83131571536866, 11.066832828947081}, {6.130486776447864, 27.16840167332583}, {6.130486776447864, 18.304872100237155}}"
