"{17.046248506720865, {17.039152665694118, 17.05334434774761}, {16.358205980652205, 17.775795816338498}, {16.358205980652205, 17.576569880892603}}","{35.56198441755456, {35.478071524526214, 35.64589731058291}, {30.335600012880132, 45.55238820095727}, {30.335600012880132, 40.93617063134711}}","{1282.978412703376, {1275.4874776869576, 1290.4693477197945}, {920.2486281414531, 2075.020070810711}, {920.2486281414531, 1675.7700659587656}}","{7.318490967196683, {7.316157601465831, 7.320824332927535}, {7.08902672004243, 7.551577026896975}, {7.08902672004243, 7.490499194609457}}","{14.55110930787123, {14.545221290230108, 14.55699732551235}, {13.9703757569907, 15.144025463161988}, {13.9703757569907, 14.99034962789743}}","{11.431319669432105, {11.306678624704668, 11.555960714159541}, {6.352411143335329, 29.125229721853483}, {6.352411143335329, 19.009051886105112}}"
"{8.416751508175416, {8.41326956653412, 8.420233449816712}, {8.070832866366128, 8.777508668213724}, {8.070832866366128, 8.678154041642477}}","{17.56249162902204, {17.5221818087637, 17.60280144928038}, {14.96164219356951, 22.542572080994887}, {14.96164219356951, 20.246094747120242}}","{312.66952096121264, {310.96040202684657, 314.3786398955787}, {223.85073712839946, 508.16755602685015}, {223.85073712839946, 409.90435250936986}}","{3.6139619370907954, {3.6128079258938897, 3.615115948287701}, {3.500087758078176, 3.7307302299484766}, {3.500087758078176, 3.7002506705561258}}","{7.183462643225026, {7.180568907445908, 7.186356379004144}, {6.9003065113932145, 7.479186114028895}, {6.9003065113932145, 7.397958041051293}}","{11.44539091110342, {11.32164756671471, 11.56913425549213}, {6.417840671699127, 28.996404441525392}, {6.417840671699127, 19.193369826760456}}"
"{29.36404641601949, {29.35188106190183, 29.37621177013715}, {28.207305302410283, 30.620341277863567}, {28.207305302410283, 30.271931849531335}}","{61.20443881352917, {61.0640629260917, 61.344814700966644}, {52.238888168608426, 77.18167279634811}, {52.238888168608426, 70.32667358842981}}","{3797.262415616324, {3775.9549260295007, 3818.569905203147}, {2728.9014370923774, 5957.010615642541}, {2728.9014370923774, 4945.841018013552}}","{12.609770011260565, {12.605733050474408, 12.613806972046723}, {12.207703938025457, 13.015663769726984}, {12.207703938025457, 12.9076990473445}}","{25.06120623009829, {25.05107175919154, 25.071340701005038}, {24.07334694270907, 26.07142876713477}, {24.07334694270907, 25.82173655244362}}","{11.387724749991497, {11.266991503890834, 11.50845799609216}, {6.375934084194633, 28.271288315758483}, {6.375934084194633, 19.015050595343354}}"
"{8.703686264249475, {8.70009828335063, 8.70727424514832}, {8.361608439306444, 9.06926836269576}, {8.361608439306444, 8.969216292573638}}","{18.180814766244143, {18.138796673207818, 18.22283285928047}, {15.516929951880869, 23.036654008843666}, {15.516929951880869, 20.98097329791204}}","{335.1364161719848, {333.22905007073, 337.04378227323963}, {240.7751151315776, 530.6874279231729}, {240.7751151315776, 440.2012405276981}}","{3.737264535636192, {3.7360843115531157, 3.7384447597192683}, {3.619595312463197, 3.8566068133086295}, {3.619595312463197, 3.8239810818089044}}","{7.428538366095463, {7.425569593321236, 7.43150713886969}, {7.1350351468765965, 7.725852773888714}, {7.1350351468765965, 7.648354820346667}}","{11.534167618969493, {11.409940464411562, 11.658394773527423}, {6.403795304386813, 28.423304312071732}, {6.403795304386813, 19.815240304787043}}"
"{8.747538283048861, {8.743901990498662, 8.75117457559906}, {8.388699822844316, 9.11370540543786}, {8.388699822844316, 9.01839211760692}}","{18.25190154110403, {18.208421599906405, 18.295381482301654}, {15.579423123058076, 23.32240483339004}, {15.579423123058076, 21.00523654991926}}","{338.05154772432365, {335.9597481975353, 340.143347251112}, {242.71842484727665, 543.9345672125351}, {242.71842484727665, 441.21996251806405}}","{3.756039723238567, {3.754842782233396, 3.7572366642437385}, {3.637304404138624, 3.877269255163551}, {3.637304404138624, 3.8445789227237643}}","{7.4661903436829995, {7.463181323053323, 7.469199364312676}, {7.172088653442209, 7.765132523997295}, {7.172088653442209, 7.685571393483839}}","{11.462213646420675, {11.33714171897797, 11.587285573863381}, {6.372301279027569, 28.90858811913468}, {6.372301279027569, 19.175115382996218}}"
"{17.13001756112458, {17.123003124438963, 17.137031997810194}, {16.454397446048194, 17.866180558045883}, {16.454397446048194, 17.657015332599578}}","{35.735465651307045, {35.6562365849153, 35.81469471769879}, {30.504403171767038, 45.37512463726142}, {30.504403171767038, 41.12925890217938}}","{1293.3587000260568, {1286.692499002296, 1300.0249010498176}, {930.518612865711, 2058.901935847008}, {930.518612865711, 1691.6159378425016}}","{7.354818704415619, {7.352473422504531, 7.357163986326707}, {7.120102044585803, 7.591434676375261}, {7.120102044585803, 7.525834060384103}}","{14.621623316282168, {14.615748237417277, 14.62749839514706}, {14.04032034993989, 15.205911362977147}, {14.04032034993989, 15.056074714293292}}","{11.474907304963255, {11.354773346239629, 11.59504126368688}, {6.342665464666893, 28.77658587937096}, {6.342665464666893, 19.14223354903711}}"
"{12.945530906003228, {12.94013122739921, 12.950930584607246}, {12.422221102476952, 13.492089277549688}, {12.422221102476952, 13.346352457356511}}","{27.041814077451836, {26.97763868015987, 27.1059894747438}, {23.05692825984373, 34.904889168437876}, {23.05692825984373, 31.236125796991967}}","{741.9771809219185, {737.5810690091809, 746.3732928346561}, {531.6219407795804, 1218.3512878609317}, {531.6219407795804, 975.6955548055071}}","{5.5560466438831595, {5.554267940076907, 5.557825347689412}, {5.382070977892907, 5.736095335442091}, {5.382070977892907, 5.687390505170741}}","{11.046055581204149, {11.041606301579435, 11.050504860828863}, {10.604956735321238, 11.495578620745247}, {10.604956735321238, 11.374476609103127}}","{11.49859076366762, {11.373475986863113, 11.623705540472127}, {6.373182472330845, 29.307434491880354}, {6.373182472330845, 19.49902120759818}}"
"{8.166212494137593, {8.162860882058402, 8.169564106216784}, {7.840859304915917, 8.505643845431727}, {7.840859304915917, 8.41280478547203}}","{17.06741622088964, {17.02707794237272, 17.10775449940656}, {14.544183108044997, 21.597798433559905}, {14.544183108044997, 19.629709994262637}}","{295.53107771994155, {293.499268270048, 297.5628871698351}, {211.53326228034143, 466.4648971766827}, {211.53326228034143, 385.3255144588544}}","{3.5060482217844022, {3.5049244539669613, 3.507171989601843}, {3.3945440740553434, 3.6202155140856194}, {3.3945440740553434, 3.5892072382590685}}","{6.9687015857368415, {6.965910741715725, 6.971492429757958}, {6.694869295023765, 7.254545483486993}, {6.694869295023765, 7.175524988158918}}","{11.552083835887919, {11.430115643133114, 11.674052028642723}, {6.408096391246738, 28.640436281694097}, {6.408096391246738, 19.392648465022937}}"
"{6.734286001832215, {6.731520820825029, 6.7370511828394015}, {6.465678819592568, 7.019973221119412}, {6.465678819592568, 6.940205373572148}}","{14.044891842270287, {14.01058337594222, 14.079200308598354}, {11.993396902435865, 18.08100478021522}, {11.993396902435865, 16.125628863929098}}","{200.32206339123505, {198.94763018108662, 201.69649660138347}, {143.8415692593582, 326.9227338621656}, {143.8415692593582, 260.0359062571833}}","{2.89136711503855, {2.8904509206324027, 2.8922833094446974}, {2.800824228201562, 2.9827543963123846}, {2.800824228201562, 2.9585662388602563}}","{5.748444213914301, {5.7461524810289974, 5.750735946799604}, {5.525534153965328, 5.977973930682397}, {5.525534153965328, 5.91485965897923}}","{11.418337070656634, {11.291249767721114, 11.545424373592153}, {6.386449223119521, 29.56911373534177}, {6.386449223119521, 18.85663258622632}}"
"{13.841461551002265, {13.835732787495402, 13.847190314509128}, {13.295726668868319, 14.438082598691434}, {13.295726668868319, 14.268646596158288}}","{28.883895549203928, {28.81578483102238, 28.952006267385475}, {24.713811130069363, 36.898632572889326}, {24.713811130069363, 33.342491715526805}}","{846.3516147659375, {841.5051195619646, 851.1981099699103}, {610.7724605727403, 1361.5090857490893}, {610.7724605727403, 1111.7217537999736}}","{5.94446426940821, {5.942538555805561, 5.94638998301086}, {5.756164243178784, 6.139225531856748}, {5.756164243178784, 6.089426233743692}}","{11.81583874517896, {11.811100383148005, 11.820577107209914}, {11.339466906851289, 12.30004332916326}, {11.339466906851289, 12.162375163468774}}","{11.472398626993117, {11.346164742479308, 11.598632511506926}, {6.415783533230614, 28.614719310505226}, {6.415783533230614, 19.2589546224632}}"
