"{23.053979664527184, {23.04678796072959, 23.06117136832478}, {22.3561573437597, 23.79467917633137}, {22.3561573437597, 23.58593809291756}}","{37.019300880570334, {36.96520972034989, 37.07339204079078}, {33.16012814212396, 43.21623642439209}, {33.16012814212396, 40.61320814383144}}","{1378.0425493262624, {1373.5278915170015, 1382.5572071355232}, {1099.5940984020815, 1867.6430906889536}, {1099.5940984020815, 1649.4326757341767}}","{12.166559187377434, {12.163193112870387, 12.169925261884481}, {11.836583904193812, 12.499132869784098}, {11.836583904193812, 12.415284769464973}}","{20.408801291897866, {20.4013647479117, 20.416237835884033}, {19.67064599427637, 21.16135142787096}, {19.67064599427637, 20.95618486331741}}","{7.9592449939850365, {7.8848909782380225, 8.03359900973205}, {5.018662393107205, 17.595045648214978}, {5.018662393107205, 11.979221098184746}}"
"{22.83674134759092, {22.829504602188884, 22.843978092992955}, {22.127210469211203, 23.562073868144847}, {22.127210469211203, 23.367442296162196}}","{36.63186946076448, {36.58093010169933, 36.682808819829624}, {32.83488431492023, 42.73461918201201}, {32.83488431492023, 40.24359944067147}}","{1348.6463228491536, {1344.6493359958297, 1352.6433097024776}, {1078.1296279741946, 1826.247676631589}, {1078.1296279741946, 1619.5472959412127}}","{12.052908742728537, {12.049561413776626, 12.056256071680448}, {11.726801291081333, 12.387647236242397}, {11.726801291081333, 12.304628253577118}}","{20.21817166170361, {20.21073542938133, 20.22560789402589}, {19.49347841033279, 20.970769225796534}, {19.49347841033279, 20.775729587114597}}","{7.907473347773709, {7.836830526720778, 7.97811616882664}, {5.011894070193746, 17.298738058763433}, {5.011894070193746, 12.162768011399352}}"
"{21.575398769180445, {21.568598783288312, 21.58219875507258}, {20.912401364963433, 22.27992888109776}, {20.912401364963433, 22.08085173898336}}","{34.666328264649025, {34.616253219672515, 34.716403309625534}, {31.0373783962064, 40.471718546439035}, {31.0373783962064, 38.05363191891177}}","{1208.2795770642356, {1204.4954555641175, 1212.0636985643537}, {963.3188577092998, 1637.9600021021774}, {963.3188577092998, 1448.0789022200204}}","{11.38290019645456, {11.379768894399538, 11.386031498509583}, {11.075704454729681, 11.701086149469262}, {11.075704454729681, 11.618428067112148}}","{19.098367240281906, {19.091408372227583, 19.10532610833623}, {18.41228525931691, 19.80095547684047}, {18.41228525931691, 19.61133188200738}}","{7.97345876908177, {7.898775712338476, 8.048141825825063}, {4.995061574429214, 17.620497932559786}, {4.995061574429214, 12.164410985244634}}"
"{13.653609075598748, {13.64924744129578, 13.657970709901717}, {13.22428383935566, 14.107198797452298}, {13.22428383935566, 13.979042957192965}}","{21.930228870007472, {21.89891793433164, 21.961539805683305}, {19.633299160996604, 25.59561481397916}, {19.633299160996604, 24.18850442382442}}","{483.486154882938, {482.0107957077487, 484.96151405812736}, {385.4664359451899, 655.1354977055895}, {385.4664359451899, 585.0837462613736}}","{7.204152297014196, {7.20215773932016, 7.206146854708232}, {7.004715159205892, 7.404326452743298}, {7.004715159205892, 7.3501025432483}}","{12.085922989530816, {12.081518911728683, 12.09032706733295}, {11.651797366574566, 12.533428047984552}, {11.651797366574566, 12.40991670296722}}","{7.9558117733971025, {7.884863229484937, 8.026760317309268}, {5.006388031950314, 17.32596776788894}, {5.006388031950314, 12.176758345050693}}"
"{10.991035737788259, {10.98758848090993, 10.994482994666589}, {10.65179804448423, 11.349024114869067}, {10.65179804448423, 11.244574469675078}}","{17.641385531280214, {17.615585453409345, 17.667185609151083}, {15.791951907690931, 20.529700396437143}, {15.791951907690931, 19.395710458239478}}","{312.95068042405404, {311.91912319603307, 313.982237652075}, {249.38574505482327, 421.4685983674713}, {249.38574505482327, 376.1935841798602}}","{5.801281915944458, {5.7996658282353, 5.802898003653617}, {5.639373802042265, 5.965042792076787}, {5.639373802042265, 5.919549285853067}}","{9.731871095893531, {9.728323570487088, 9.735418621299974}, {9.377772785062241, 10.089662896271026}, {9.377772785062241, 9.999276212022743}}","{7.929020134945074, {7.85624099335861, 8.001799276531539}, {5.0029651723691, 17.25890797012222}, {5.0029651723691, 12.076970016341006}}"
"{22.24573437769455, {22.238734449651467, 22.252734305737633}, {21.55906501407153, 22.94974076495802}, {21.55906501407153, 22.757260255082176}}","{35.73625446273663, {35.68225864655053, 35.790250278922734}, {31.966398117574983, 41.556898399760094}, {31.966398117574983, 39.196975907632016}}","{1284.6669769282787, {1280.1877551821815, 1289.146198674376}, {1021.8506086113014, 1726.9758046079833}, {1021.8506086113014, 1536.4029203034845}}","{11.740196892366576, {11.73691597689729, 11.743477807835863}, {11.416138698269512, 12.067953826659362}, {11.416138698269512, 11.983834685391512}}","{19.69678404340551, {19.68955588797151, 19.704012198839514}, {18.972879300238475, 20.422244925912246}, {18.972879300238475, 20.22789658599477}}","{7.993205776615371, {7.914363168555936, 8.072048384674805}, {4.999689002692756, 17.303634071681497}, {4.999689002692756, 12.087816153991787}}"
"{18.45496578047456, {18.449136405284758, 18.46079515566436}, {17.882811189093474, 19.052335270847212}, {17.882811189093474, 18.890798312670587}}","{29.614149270391465, {29.569904875697187, 29.658393665085743}, {26.53089799786978, 34.565029029003696}, {26.53089799786978, 32.46490445405771}}","{882.0919873106342, {878.9794451954706, 885.2045294257978}, {703.8885485733707, 1194.7412317758683}, {703.8885485733707, 1053.970021211096}}","{9.740783540433828, {9.73807046320252, 9.743496617665135}, {9.471500369529025, 10.014716707187086}, {9.471500369529025, 9.938043383569465}}","{16.338763842158276, {16.332737088014387, 16.344790596302165}, {15.737796231405303, 16.946973338997594}, {15.737796231405303, 16.78267182396391}}","{7.934624413365839, {7.858832608035002, 8.010416218696676}, {5.01479474914161, 17.240187491200842}, {5.01479474914161, 12.017969663590737}}"
"{18.52043118032894, {18.514550189370734, 18.52631217128715}, {17.952434179881088, 19.138439067501203}, {17.952434179881088, 18.957660430744287}}","{29.74249762289136, {29.699129954971557, 29.785865290811163}, {26.619712964981836, 34.58248337735157}, {26.619712964981836, 32.80788067153326}}","{889.510428672432, {886.6646748554441, 892.3561824894199}, {708.6091183380221, 1195.9481565447977}, {708.6091183380221, 1076.3570341575657}}","{9.773983928886965, {9.771254644997097, 9.776713212776833}, {9.502834860070257, 10.045153581462163}, {9.502834860070257, 9.974336440981695}}","{16.39717425335055, {16.39116535560934, 16.40318315109176}, {15.801271695125097, 17.00040424315595}, {15.801271695125097, 16.843214096076405}}","{7.951543785953974, {7.8792389357934205, 8.023848636114527}, {5.017571253692006, 17.18090801531852}, {5.017571253692006, 12.211548847415111}}"
"{19.202614305736702, {19.196514725868003, 19.208713885605402}, {18.598065417731277, 19.81264866250853}, {18.598065417731277, 19.655113824543566}}","{30.817708424577116, {30.77456809620431, 30.860848752949924}, {27.645145713366965, 35.78336327791727}, {27.645145713366965, 33.85539376547251}}","{954.5742379931895, {951.7258397115619, 957.4226362748171}, {764.2540815132918, 1280.4490874793978}, {764.2540815132918, 1146.187687015195}}","{10.130826850743942, {10.128015167582044, 10.13363853390584}, {9.851431534902765, 10.41028060507108}, {9.851431534902765, 10.337922322295238}}","{16.99885590867457, {16.992620516738263, 17.00509130061088}, {16.38185661504084, 17.629552457673466}, {16.38185661504084, 17.45969309069746}}","{7.904196156776699, {7.83367785338223, 7.9747144601711675}, {5.041474737520112, 17.259010373342925}, {5.041474737520112, 11.927781783481059}}"
"{18.278249499036466, {18.272482000121695, 18.284016997951237}, {17.726553346027565, 18.86302416866492}, {17.726553346027565, 18.707791980200458}}","{29.34928219726308, {29.305464929026442, 29.393099465499716}, {26.333184302643712, 34.2259829234478}, {26.333184302643712, 32.32217116235144}}","{866.376634751729, {863.3727304456035, 869.3805390578544}, {693.4365955170011, 1171.4179070761406}, {693.4365955170011, 1044.722748648343}}","{9.64626779383057, {9.64359821327471, 9.648937374386428}, {9.389130644123483, 9.918750114345958}, {9.389130644123483, 9.846348982988266}}","{16.1772116419226, {16.171278029334974, 16.183145254510226}, {15.591946596749187, 16.778178136943026}, {15.591946596749187, 16.617502027202015}}","{7.937620704321901, {7.862081104548963, 8.01316030409484}, {5.018158718443708, 17.177524696467557}, {5.018158718443708, 11.963140122209342}}"
