"{32.20485924167418, {32.192938963950226, 32.21677951939813}, {31.044029206783396, 33.42741637743071}, {31.044029206783396, 33.092036077269135}}","{59.870354837381726, {59.751707926513724, 59.98900174824973}, {52.20139178798684, 73.32195070658169}, {52.20139178798684, 67.43898588735374}}","{3621.092019177992, {3602.856251278293, 3639.327787077691}, {2724.9853046029, 5376.108455418395}, {2724.9853046029, 4548.016817514696}}","{15.199777410660769, {15.195173575292696, 15.204381246028841}, {14.749449655707775, 15.660635410073343}, {14.749449655707775, 15.545657594828713}}","{28.090624799915037, {28.079830956761196, 28.10141864306888}, {27.02269311202305, 29.182548292735966}, {27.02269311202305, 28.88952932059007}}","{9.822431924091747, {9.718595631043156, 9.926268217140338}, {5.752669699364895, 24.485277763451904}, {5.752669699364895, 15.888889797421102}}"
"{35.596001417585015, {35.582920415264915, 35.609082419905114}, {34.336999579420066, 36.94388026172878}, {34.336999579420066, 36.571716966898386}}","{66.0316997065551, {65.90469092870406, 66.15870848440615}, {57.682662959764336, 80.46137774203231}, {57.682662959764336, 74.38950455623235}}","{4402.16345985351, {4381.581844261926, 4422.745075445095}, {3327.289606129769, 6474.033308146013}, {3327.289606129769, 5533.798388121714}}","{16.802237659297184, {16.797146024154703, 16.807329294439665}, {16.30180421630211, 17.313318424289733}, {16.30180421630211, 17.179662850955935}}","{31.04858982833501, {31.03657460753263, 31.060605049137394}, {29.876912145435732, 32.266718804465505}, {29.876912145435732, 31.93547075344101}}","{9.666178710991534, {9.568002974943811, 9.764354447039258}, {5.7553394988817494, 22.582457548710394}, {5.7553394988817494, 15.398593180853007}}"
"{40.721323038418284, {40.706479783403836, 40.73616629343273}, {39.22438532780611, 42.22510216046722}, {39.22438532780611, 41.81040495772353}}","{75.61789776553996, {75.47889114862274, 75.7569043824572}, {66.17236456817814, 92.34375429942327}, {66.17236456817814, 85.27839541652045}}","{5768.350042027395, {5744.731304097954, 5791.9687799568355}, {4378.7818325438775, 8527.368958112253}, {4378.7818325438775, 7272.404724816417}}","{19.22003775354091, {19.21422905578749, 19.22584645129433}, {18.63629557560811, 19.812876224923478}, {18.63629557560811, 19.64973909274139}}","{35.53221316275759, {35.51850186469947, 35.54592446081571}, {34.15314598430861, 36.886738877028485}, {34.15314598430861, 36.5283084461916}}","{9.764119626878617, {9.666452524796101, 9.861786728961134}, {5.713251653921586, 22.8806519088214}, {5.713251653921586, 15.7112170529661}}"
"{25.98228656886427, {25.9728128799289, 25.991760257799644}, {25.060433947565087, 26.95764534792339}, {25.060433947565087, 26.684209018745833}}","{48.32314232960577, {48.20035610743235, 48.4459285517792}, {42.120940219918914, 59.22416971067372}, {42.120940219918914, 54.37392716847678}}","{2374.3593551947693, {2331.3019268377807, 2417.416783551758}, {1774.173605009983, 3507.502277918683}, {1774.173605009983, 2956.523955722818}}","{12.266142136467943, {12.262412470405621, 12.269871802530265}, {11.887864478204408, 12.63365087094166}, {11.887864478204408, 12.538822226823745}}","{22.66528609636898, {22.656414340347578, 22.674157852390383}, {21.78709072341409, 23.55505819546633}, {21.78709072341409, 23.321221915359992}}","{9.810454951545681, {9.706790350295483, 9.91411955279588}, {5.740621670761898, 23.66716224682131}, {5.740621670761898, 15.790972454704}}"
"{2.926366161534006, {2.925282707928167, 2.927449615139845}, {2.819699557395505, 3.036810287928331}, {2.819699557395505, 3.0055082922223706}}","{5.440197768743302, {5.429155770650177, 5.451239766836427}, {4.741713752148309, 6.656334922154467}, {4.741713752148309, 6.113273085131144}}","{29.91303751809958, {29.746917271811668, 30.07915776438749}, {22.483849307312397, 44.306794595893116}, {22.483849307312397, 37.37210781338886}}","{1.3812465107785528, {1.3808315764941326, 1.381661445062973}, {1.3400803275888307, 1.4237090980505502}, {1.3400803275888307, 1.4120223273678874}}","{2.552466257512442, {2.5514869165431313, 2.5534455984817526}, {2.4557726147456367, 2.6527077175044753}, {2.4557726147456367, 2.6244352290842823}}","{9.799277759974146, {9.696365797157485, 9.902189722790807}, {5.738294932751379, 23.141227163859885}, {5.738294932751379, 15.730321260291516}}"
"{27.754080996876727, {27.744085071293437, 27.764076922460017}, {26.755636159967807, 28.75953308714546}, {26.755636159967807, 28.49753580594592}}","{51.55914260775718, {51.46158703137121, 51.65669818414315}, {45.151065787157876, 62.69473533310494}, {45.151065787157876, 58.02170114866205}}","{2683.1113899471484, {2671.2920001373654, 2694.9307797569313}, {2038.6187417162585, 3930.6298384880765}, {2038.6187417162585, 3366.5178041846516}}","{13.099632821781116, {13.095720194288718, 13.103545449273513}, {12.713334599491791, 13.499156116738119}, {12.713334599491791, 13.386124985346669}}","{24.204768950338828, {24.195342328584978, 24.214195572092677}, {23.2760971135299, 25.160326421287635}, {23.2760971135299, 24.891990685356244}}","{9.759381200534637, {9.658153027888561, 9.860609373180713}, {5.7654532795563656, 23.108834114831247}, {5.7654532795563656, 15.530304638759187}}"
"{19.8504778720379, {19.843122781550466, 19.857832962525332}, {19.13485867063222, 20.600143625068828}, {19.13485867063222, 20.393722159244952}}","{36.9130319593552, {36.8431450265872, 36.9829188921232}, {32.23195411391147, 45.167141508442526}, {32.23195411391147, 41.69105887356835}}","{1375.2819766891657, {1369.3425644737429, 1381.2213889045886}, {1038.8988660012944, 2040.070672043672}, {1038.8988660012944, 1738.1443899993424}}","{9.367175522966896, {9.36432080184758, 9.370030244086212}, {9.08494980388889, 9.653778214190497}, {9.08494980388889, 9.574477176714378}}","{17.30808493410153, {17.301369486049815, 17.314800382153244}, {16.64754905119413, 17.979403878596877}, {16.64754905119413, 17.808523172283714}}","{9.787031365097318, {9.687290065710624, 9.886772664484013}, {5.753086534865295, 23.296925605566233}, {5.753086534865295, 15.919172544530927}}"
"{22.40813548814471, {22.39993461829768, 22.416336357991735}, {21.602872641481323, 23.249532908056736}, {21.602872641481323, 23.02368199361794}}","{41.59865881996903, {41.52148652899422, 41.67583111094385}, {36.34565660771208, 50.685121584779935}, {36.34565660771208, 46.90428189966008}}","{1745.9465001387118, {1738.6281327459415, 1753.2648675314822}, {1321.0067542457246, 2568.9815500639247}, {1321.0067542457246, 2200.01166052278}}","{10.58055638791314, {10.577379892006192, 10.583732883820087}, {10.267791684410916, 10.901814990759354}, {10.267791684410916, 10.816157061794533}}","{19.550514325356275, {19.54292081421356, 19.55810783649899}, {18.801886314778933, 20.338307038729916}, {18.801886314778933, 20.12096337793192}}","{9.756781629833325, {9.657849454227541, 9.855713805439109}, {5.733052350966475, 23.10670837727527}, {5.733052350966475, 15.88810706793353}}"
"{31.47151861439154, {31.459779586112237, 31.483257642670846}, {30.32179388394276, 32.67859410623554}, {30.32179388394276, 32.3497911819751}}","{58.45114584680735, {58.340687694873886, 58.561603998740814}, {50.98607214231109, 71.66118116823166}, {50.98607214231109, 65.7455949615708}}","{3448.2869665583275, {3433.5373426703063, 3463.036590446349}, {2599.5795525009507, 5135.32488642612}, {2599.5795525009507, 4322.483256850925}}","{14.856309542978677, {14.85183246096068, 14.860786624996674}, {14.412302888999427, 15.304393451568874}, {14.412302888999427, 15.186364862860565}}","{27.44596872778089, {27.435220550120093, 27.456716905441688}, {26.380009351253484, 28.529861436944348}, {26.380009351253484, 28.240202704708555}}","{9.746985024329703, {9.647070162256343, 9.846899886403063}, {5.754314176431336, 23.05011916638453}, {5.754314176431336, 15.742185171058372}}"
"{21.676589914157596, {21.66852392243453, 21.68465590588066}, {20.894971413954504, 22.5166655660973}, {20.894971413954504, 22.27957632121103}}","{40.35749203558205, {40.27586804699345, 40.439116024170644}, {35.21658615935873, 49.44432407256807}, {35.21658615935873, 45.5493765388131}}","{1646.0648386768376, {1637.6965292662921, 1654.433148087383}, {1240.2079407195367, 2444.7411829931348}, {1240.2079407195367, 2074.7457030745772}}","{10.229454978466705, {10.226395748840048, 10.232514208093363}, {9.929196999934492, 10.538245773157136}, {9.929196999934492, 10.454017469737183}}","{18.905336781010103, {18.897954844925366, 18.91271871709484}, {18.169614262112137, 19.66818432639448}, {18.169614262112137, 19.451959136265547}}","{9.877181658868073, {9.771486845299684, 9.982876472436462}, {5.7538392415129485, 23.4996532504037}, {5.7538392415129485, 15.990147782922426}}"
